Proteins, Eliot EXO, Clov EXO, Tato EXO, Samo EXO, Flash EXO, Gus 2 EXO,Fritz 2 EXO,Tessa 2 EXO,Fritz 1 EXO,Tessa 1 EXO,Gus 1 EXO
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_340026500 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_340034000 PE=3 SV=1,0,3,11,5,0,0,5,0,8,2,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_340038100 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_340041500 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_340043800 PE=4 SV=1,15,0,4,3,18,19,4,0,3,12,9
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_340046600 PE=4 SV=1,2,0,0,0,4,2,5,0,0,0,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_340047900 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_340049800 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_340052400 PE=4 SV=1,2,0,4,0,19,2,7,0,29,0,5
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_350006500 PE=4 SV=1,14,0,0,0,4,17,2,2,0,0,11
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_350006600 PE=3 SV=1,0,0,0,0,0,0,0,0,0,0,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_350008100 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_350009100 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_350011300 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_350013300 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_350014600 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_350017800 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_350019700 PE=4 SV=2,0,0,0,0,0,5,0,0,0,0,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_350023200 PE=4 SV=1,7,6,4,18,8,7,0,0,20,2,4
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_350025200 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_350028300 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_350033200 PE=4 SV=1,3,0,0,0,8,11,0,13,3,7,6
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_350035000 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_350036000 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_350036400 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_350039100 PE=4 SV=1,0,0,2,0,5,5,0,0,4,0,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_350044400 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_350048500 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_350050600 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_350050900 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_350054000 PE=4 SV=1,12,3,0,0,6,12,0,8,6,5,6
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_350056200 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_350058400 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_360005200 PE=4 SV=1,5,0,0,0,4,6,0,0,2,0,5
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_360009700 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_360010100 PE=4 SV=1,7,0,2,0,0,11,5,7,0,10,7
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_360013100 PE=4 SV=1,10,0,0,0,0,5,0,0,0,0,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_360015500 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_360017100 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_360017500 PE=4 SV=1,7,0,2,0,2,7,3,0,0,9,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_360023900 PE=4 SV=1,3,0,0,0,5,4,4,0,0,6,5
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_360029800 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_360034600 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_360042400 PE=4 SV=1,0,0,0,0,0,2,0,0,0,0,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_360047800 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_360049500 PE=4 SV=1,2,0,0,0,0,0,0,0,0,0,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_360052000 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_360053900 PE=4 SV=1,7,2,7,0,3,11,9,5,2,21,8
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_360054500 PE=4 SV=2,0,0,0,0,0,0,0,0,0,0,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_360055600 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_360060500 PE=4 SV=1,19,23,18,22,19,25,30,2,32,8,9
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_360060800 PE=4 SV=1,0,0,0,0,0,2,0,0,0,5,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_360065500 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_360066800 PE=4 SV=2,0,0,0,0,0,0,0,0,0,0,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_360073900 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,3
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_360075800 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
Hypoxanthine phosphoribosyltransferase OS=Leishmania infantum OX=5671 GN=HGPRT PE=3 SV=1,9,2,0,3,0,6,3,0,0,2,0
I/6 autoantigen-like protein OS=Leishmania infantum OX=5671 GN=LINF_220020700 PE=4 SV=1,35,0,6,0,18,40,46,10,10,22,16
Importin subunit alpha OS=Leishmania infantum OX=5671 GN=LINF_300016800 PE=3 SV=1,4,0,0,3,0,5,0,0,3,5,0
Importin_1 OS=Leishmania infantum OX=5671 GN=LINF_350028600 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
Importin_beta-1_subunit_-_putative OS=Leishmania infantum OX=5671 GN=LINF_340010100 PE=4 SV=1,6,0,0,0,3,4,0,0,0,0,0
Inhibitor of cysteine peptidase OS=Leishmania infantum OX=5671 GN=LINF_240023700 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
Inorganic diphosphatase OS=Leishmania infantum OX=5671 GN=LINF_030014200 PE=3 SV=1,0,0,0,0,0,0,0,0,0,0,0
Inorganic diphosphatase OS=Leishmania infantum OX=5671 GN=LINF_110007000 PE=3 SV=2,5,0,0,0,13,5,4,0,6,0,5
Inosine triphosphate pyrophosphatase OS=Leishmania infantum OX=5671 GN=LINF_360055700 PE=3 SV=1,2,0,0,0,0,4,0,0,2,0,2
Inosine-5'-monophosphate dehydrogenase OS=Leishmania infantum OX=5671 GN=LINF_190022000 PE=3 SV=1,6,0,2,0,16,7,9,0,0,6,0
Inosine-adenosine-guanosine-nucleosidehydrolase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_290035800 PE=3 SV=1,5,0,0,0,0,0,0,0,0,0,0
Inosine-guanine_nucleoside_hydrolase_-_putative OS=Leishmania infantum OX=5671 GN=nh2 PE=4 SV=1,6,0,0,0,6,4,0,0,2,0,5
Inosine-guanosine transporter OS=Leishmania infantum OX=5671 GN=NT2 PE=3 SV=1,49,17,6,9,40,68,19,9,43,29,29
Inosine-uridine preferring nucleoside hydrolase OS=Leishmania infantum OX=5671 GN=iunh PE=3 SV=1,4,0,0,2,13,3,3,0,14,6,4
Inosine-uridine_preferring_nucleoside_hydrolase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_260008400 PE=3 SV=1,0,0,4,2,0,2,0,0,0,0,0
Inositol phosphosphingolipid phospholipase C-Like OS=Leishmania infantum OX=5671 GN=ISCL PE=3 SV=1,0,0,0,0,0,0,0,0,0,0,0
Inositol-1_-4_-5-trisphosphate_(IP3)_5 -phosphatase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_110016100 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
Inositol-3-phosphate synthase OS=Leishmania infantum OX=5671 GN=INO1 PE=3 SV=1,11,0,0,3,3,10,0,0,4,0,13
Intergrin_alpha_chain_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_310006100 PE=4 SV=1,0,0,0,0,0,3,0,0,0,4,0
Intraflagellar transport protein 122 homolog OS=Leishmania infantum OX=5671 GN=LINF_360015800 PE=4 SV=1,3,3,2,2,4,0,2,0,8,2,2
Intraflagellar transport protein-like protein OS=Leishmania infantum OX=5671 GN=LINF_220019800 PE=4 SV=1,6,0,0,0,0,3,0,0,0,3,0
Intraflagellar_transport_complex_B_protein_46_C_t erminal_-_putative OS=Leishmania infantum OX=5671 GN=LINF_300022600 PE=3 SV=1,3,0,0,0,0,2,0,0,0,0,0
Intraflagellar_transport_protein_140_-_putative OS=Leishmania infantum OX=5671 GN=LINF_320008200 PE=4 SV=1,10,2,4,4,0,0,0,0,6,0,0
Intraflagellar_transport_protein_172_-_putative OS=Leishmania infantum OX=5671 GN=LINF_210017400 PE=4 SV=1,22,7,10,6,19,12,24,0,47,13,3
Intraflagellar_transport_protein_43_-_putative OS=Leishmania infantum OX=5671 GN=LINF_270026700 PE=4 SV=1,0,0,0,0,0,0,0,0,0,2,0
Intraflagellar_transport_protein_52_-_putative OS=Leishmania infantum OX=5671 GN=LINF_190008100 PE=4 SV=2,4,0,0,0,0,4,4,0,13,4,0
Intraflagellar_transport_protein_57/55_-_putative OS=Leishmania infantum OX=5671 GN=LINF_330013100 PE=3 SV=1,0,0,0,0,0,0,0,0,0,0,0
Intraflagellar_transport_protein_80_-_putative OS=Leishmania infantum OX=5671 GN=LINF_190008200 PE=4 SV=1,3,0,2,2,7,0,2,0,17,3,0
Intraflagellar_transport_protein_81_-_putative OS=Leishmania infantum OX=5671 GN=LINF_340007400 PE=4 SV=1,3,0,0,0,0,0,0,0,0,0,0
Intraflagellar_transport_protein_88_-_putative OS=Leishmania infantum OX=5671 GN=LINF_270017700 PE=4 SV=1,2,0,0,0,0,2,2,0,5,5,0
Iron/zinc transporter protein-like protein OS=Leishmania infantum OX=5671 GN=LINF_310039500 PE=4 SV=2,0,0,0,0,4,3,0,0,0,0,0
Iron-binding_zinc_finger_CDGSH_type_-_putative OS=Leishmania infantum OX=5671 GN=LINF_350018600 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
Iron-sulfur_assembly_protein_1_-_putative OS=Leishmania infantum OX=5671 GN=LINF_160013800 PE=4 SV=2,0,0,0,0,0,0,0,0,0,0,0
Iron-sulfur_assembly_protein_2_-_putative OS=Leishmania infantum OX=5671 GN=LINF_350018300 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
Isocitrate dehydrogenase [NADP] OS=Leishmania infantum OX=5671 GN=LINF_100008300 PE=3 SV=1,5,2,6,2,21,5,11,0,16,0,5
Isocitrate dehydrogenase [NADP] OS=Leishmania infantum OX=5671 GN=LINF_330034700 PE=3 SV=1,7,0,0,2,3,11,2,0,0,0,4
Isoleucyl-tRNA synthetase OS=Leishmania infantum OX=5671 GN=ILERS PE=3 SV=1,64,15,22,15,85,75,66,3,89,28,61
Isopentenyl-diphosphate_delta-isomerase_(Type_II)_-_putative OS=Leishmania infantum OX=5671 GN=LINF_350058900 PE=3 SV=1,2,0,0,0,5,5,3,0,0,3,8
Isoprenylcysteine_alpha-carbonyl_methylesterase_-_putative OS=Leishmania infantum OX=5671 GN=LiISP3 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
Isovaleryl-coA_dehydrogenase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_270015600 PE=3 SV=1,0,0,0,0,0,0,0,0,0,0,0
J domain-containing protein OS=Leishmania infantum OX=5671 GN=LINJ_36_1380 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
KH_domain/Domain_of_uncharacterized_function_(DUF 1771)/Smr_domain_containing_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_310036800 PE=4 SV=1,7,0,0,0,7,9,5,3,3,3,5
KH_domain_containing_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_270019700 PE=4 SV=1,9,10,20,18,7,3,5,2,8,14,0
Kinase-like protein OS=Leishmania infantum OX=5671 GN=LINF_030010900 PE=3 SV=1,0,0,0,0,0,0,0,0,0,0,0
Kinesin_-_putative OS=Leishmania infantum OX=5671 GN=LINF_300020100 PE=3 SV=1,6,2,0,0,2,4,0,0,3,4,0
Kinesin_-_putative OS=Leishmania infantum OX=5671 GN=LINF_350026000 PE=3 SV=1,6,0,5,11,17,16,14,3,25,6,5
Kinesin-13_6_-_putative OS=Leishmania infantum OX=5671 GN=LINF_350052800 PE=3 SV=1,2,0,0,0,4,5,0,0,0,0,0
Kinesin-like protein OS=Leishmania infantum OX=5671 GN=LINF_130021600 PE=3 SV=1,2,0,5,8,3,0,0,0,0,7,0
Kinesin-like protein OS=Leishmania infantum OX=5671 GN=LINF_170015000 PE=3 SV=1,10,0,0,0,0,12,0,0,0,0,0
Kinesin-like protein OS=Leishmania infantum OX=5671 GN=LINF_190007400 PE=3 SV=1,39,17,5,5,25,43,23,10,11,19,20
Kinesin-like protein OS=Leishmania infantum OX=5671 GN=LINF_230013200 PE=3 SV=1,13,9,13,16,6,19,3,0,7,17,6
Kinesin-like protein OS=Leishmania infantum OX=5671 GN=LINF_240011400 PE=3 SV=1,7,0,9,3,8,6,0,0,0,4,0
Kinesin-like protein OS=Leishmania infantum OX=5671 GN=LINF_300008500 PE=3 SV=1,6,0,4,4,2,2,0,0,3,3,0
Kinesin-like_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_360061000 PE=3 SV=1,7,3,2,7,2,12,4,0,3,4,0
Kinetoplast_polyadenylation/uridylation_factor_1 OS=Leishmania infantum OX=5671 GN=LINF_180005000 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
Kinetoplast-associated_protein_3_-_putative OS=Leishmania infantum OX=5671 GN=LINF_320045000 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
Kinetoplast-associated_protein_p18-2_-_putative OS=Leishmania infantum OX=5671 GN=LINF_320044900 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
Kinetoplastid membrane protein-11 OS=Leishmania infantum OX=5671 GN=KMP11-1 PE=3 SV=1,18,6,0,0,28,25,8,0,0,7,11
Kynureninase OS=Leishmania infantum OX=5671 GN=KYNU PE=3 SV=1,0,0,0,0,0,3,0,0,0,0,0
L-2-hydroxyglutarate_dehydrogenase_-_mitochondrial_-_putative OS=Leishmania infantum OX=5671 GN=LINF_360064300 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
La_RNA_binding_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_210011000 PE=4 SV=1,0,0,4,4,0,0,0,0,3,0,0
Lanosterol_synthase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_060012100 PE=3 SV=1,0,0,0,0,0,0,0,0,0,0,0
Leishmanolysin OS=Leishmania infantum OX=5671 GN=GP63-1 PE=3 SV=2,137,244,80,68,191,124,147,47,104,145,166
Leishmanolysin OS=Leishmania infantum OX=5671 GN=GP63-2 PE=3 SV=1,0,0,0,0,0,0,0,0,0,0,0
Leishmanolysin OS=Leishmania infantum OX=5671 GN=GP63-3 PE=3 SV=2,97,169,48,50,133,90,100,33,71,105,116
Leishmanolysin OS=Leishmania infantum OX=5671 GN=GP63-4 PE=3 SV=2,93,117,43,38,119,78,81,34,63,86,102
LETM1_and_EF-hand_domain-containing_protein_1_-_putative OS=Leishmania infantum OX=5671 GN=LINF_290014900 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
Leucine carboxyl methyltransferase 1 OS=Leishmania infantum OX=5671 GN=LINF_360005800 PE=3 SV=1,3,0,3,3,6,7,7,0,0,4,2
Leucine carboxyl methyltransferase 2 OS=Leishmania infantum OX=5671 GN=LINF_350034700 PE=3 SV=1,0,0,4,4,8,0,2,0,5,0,0
Leucine_rich_repeat/Leucine_Rich_Repeat_-_putative OS=Leishmania infantum OX=5671 GN=LINF_060015500 PE=4 SV=1,22,3,0,0,11,16,0,0,13,4,5
Leucine_Rich_repeat/Leucine_Rich_Repeat_-_putative OS=Leishmania infantum OX=5671 GN=LINF_230025600 PE=4 SV=1,3,0,0,0,0,7,0,0,4,3,2
Leucine_Rich_Repeat/Leucine_Rich_repeat_-_putative OS=Leishmania infantum OX=5671 GN=LINF_280026400 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
Leucine-rich_repeat_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_300006600 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
Leucine-rich_repeat_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_320037600 PE=4 SV=1,11,10,30,19,14,6,6,2,3,13,6
Leucine-rich_repeat_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_340011100 PE=4 SV=1,3,0,2,0,5,0,0,0,0,0,0
Leucyl-tRNA synthetase OS=Leishmania infantum OX=5671 GN=LINF_130016000 PE=3 SV=1,48,26,56,86,36,38,103,0,68,54,11
LicD_family_-_putative OS=Leishmania infantum OX=5671 GN=LINF_340042800 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
Lipophosphoglycan biosynthetic protein (Lpg2) OS=Leishmania infantum OX=5671 GN=LPG2 PE=3 SV=1,4,0,3,0,0,2,0,0,0,0,0
Long-chain-fatty-acid-CoA_ligase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_010009800 PE=4 SV=1,28,11,5,4,22,27,17,2,8,11,21
Long-chain-fatty-acid-CoA_ligase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_010010000 PE=4 SV=1,38,14,6,9,24,38,30,3,14,9,34
Long-chain-fatty-acid-CoA_ligase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_010010300 PE=4 SV=1,17,18,0,0,0,0,0,0,10,0,0
Long-chain-fatty-acid-CoA_ligase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_030007100 PE=4 SV=1,40,15,22,20,27,24,26,2,9,11,9
LSD1_zinc_finger_containing_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_310020700 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
LSM_domain_containing_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_050010500 PE=4 SV=2,0,0,0,0,0,0,0,0,0,0,0
Lsm12_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_350058500 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
Lsm5p_-_putative OS=Leishmania infantum OX=5671 GN=LINF_300035600 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
Lysine--tRNA ligase OS=Leishmania infantum OX=5671 GN=LINF_150007600 PE=3 SV=1,4,9,17,43,3,6,2,0,9,4,2
Lysophospholipase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_240024400 PE=4 SV=1,6,0,0,0,9,11,0,0,5,0,5
Macro_domain_containing_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_360041300 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
Macrophage migration inhibitory factor-like protein OS=Leishmania infantum OX=5671 GN=MIF2 PE=3 SV=1,2,0,0,0,3,3,0,0,0,0,0
Maf-like_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_320016000 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
Major_Facilitator_Superfamily_-_putative OS=Leishmania infantum OX=5671 GN=LINF_210006100 PE=4 SV=1,0,0,4,0,0,0,0,0,0,0,0
Major_Facilitator_Superfamily_-_putative OS=Leishmania infantum OX=5671 GN=LINF_310012900 PE=4 SV=1,32,0,3,0,47,34,38,3,2,0,19
Mak10_subunit_-_NatC_N(Alpha )-terminal_acetyltransferase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_170016800 PE=3 SV=1,0,0,0,0,0,2,0,0,3,0,0
Malate dehydrogenase OS=Leishmania infantum OX=5671 GN=cMDH PE=3 SV=1,23,2,0,0,21,28,9,0,24,0,21
Malate dehydrogenase OS=Leishmania infantum OX=5671 GN=LINF_190012000 PE=3 SV=1,7,7,11,4,12,5,8,0,3,4,4
Malate dehydrogenase OS=Leishmania infantum OX=5671 GN=LINF_340006300 PE=3 SV=2,0,0,0,0,0,0,0,0,0,0,0
Malate dehydrogenase OS=Leishmania infantum OX=5671 GN=LINF_340006400 PE=3 SV=1,0,0,0,0,10,5,2,0,5,0,4
Malate dehydrogenase OS=Leishmania infantum OX=5671 GN=LINF_340006500 PE=3 SV=1,0,0,0,0,0,0,0,0,0,0,0
Malate dehydrogenase OS=Leishmania infantum OX=5671 GN=mMDH PE=3 SV=1,0,0,0,0,0,0,0,0,0,0,0
Malic enzyme OS=Leishmania infantum OX=5671 GN=LINF_240012700 PE=3 SV=1,6,0,0,0,4,24,0,0,2,4,5
Malic_enzyme_-_putative OS=Leishmania infantum OX=5671 GN=LINF_240012800 PE=3 SV=1,0,0,0,0,0,0,0,0,0,0,0
Mannose-6-phosphate isomerase OS=Leishmania infantum OX=5671 GN=mpi PE=3 SV=1,7,0,0,0,10,8,0,0,2,0,2
Mannose-specific_lectin_-_putative OS=Leishmania infantum OX=5671 GN=LINF_130011600 PE=4 SV=1,0,0,0,0,0,4,4,0,0,0,0
Mannosyl_oligosaccharide_glucosidase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_280028700 PE=3 SV=1,0,0,0,0,0,0,0,0,0,0,0
MAP_kinase_kinase-like_protein OS=Leishmania infantum OX=5671 GN=LINF_350045500 PE=4 SV=1,3,0,0,0,2,5,0,0,3,2,0
Membrane-bound acid phosphatase 2 OS=Leishmania infantum OX=5671 GN=MBAP2 PE=4 SV=1,3,0,0,3,13,14,3,0,0,4,3
Membrane-bound acid phosphatase OS=Leishmania infantum OX=5671 GN=MBAP PE=4 SV=1,0,0,0,0,0,3,0,0,0,0,0
Membrane-bound_acid_phosphatase_2_-_putative OS=Leishmania infantum OX=5671 GN=LINF_360033700 PE=4 SV=1,2,0,0,3,19,26,15,2,0,5,3
Memo-like_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_360017400 PE=3 SV=1,0,0,0,0,0,0,0,0,0,0,0
META_domain_containing_protein OS=Leishmania infantum OX=5671 GN=META2 PE=4 SV=1,47,19,5,0,22,51,11,29,21,32,26
META_domain_containing_protein_-_putative OS=Leishmania infantum OX=5671 GN=META1 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
Metal-ion_transporter_-_putative OS=Leishmania infantum OX=5671 GN=LINF_310032200 PE=4 SV=1,0,0,0,0,0,5,0,0,0,0,3
Metallo-beta-lactamase family-like protein OS=Leishmania infantum OX=5671 GN=LINF_210012300 PE=3 SV=1,0,0,0,0,0,0,0,0,0,0,0
Metallo-beta-lactamase_superfamily_-_putative OS=Leishmania infantum OX=5671 GN=LINF_340041100 PE=3 SV=1,0,0,0,0,0,0,0,0,0,0,0
Metallo-peptidase_-_Clan_MA(E)_Family_M41 OS=Leishmania infantum OX=5671 GN=LINF_360035000 PE=3 SV=1,0,0,0,0,0,0,0,0,0,0,0
Metallo-peptidase_-_Clan_ME_-_Family_M16 OS=Leishmania infantum OX=5671 GN=LINF_010011600 PE=3 SV=1,0,0,0,0,0,0,0,0,0,0,0
Metallo-peptidase_-_Clan_ME_-_Family_M16 OS=Leishmania infantum OX=5671 GN=LINF_330035400 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
Metallo-peptidase_-_Clan_ME_-_Family_M16C OS=Leishmania infantum OX=5671 GN=LINF_070006000 PE=3 SV=2,0,0,0,0,0,0,0,0,0,0,0
Metallo-peptidase_-_Clan_MF_-_Family_M17 OS=Leishmania infantum OX=5671 GN=LINF_330034900 PE=3 SV=1,0,0,0,0,0,0,0,0,0,0,0
Metallo-peptidase_-_Clan_MG_-_Family_M24 OS=Leishmania infantum OX=5671 GN=LINF_190006400 PE=3 SV=1,3,0,5,8,5,14,3,0,7,3,8
Metallopeptidase_family_M24_-_putative OS=Leishmania infantum OX=5671 GN=LINF_130011700 PE=3 SV=1,0,0,0,0,0,0,0,0,0,0,0
Metalloprotease_M41_FtsH_-_putative OS=Leishmania infantum OX=5671 GN=LINF_320020800 PE=4 SV=2,0,0,0,0,0,0,0,0,0,0,0
Methenyltetrahydrofolate cyclohydrolase OS=Leishmania infantum OX=5671 GN=LINF_260008200 PE=3 SV=1,10,0,0,0,8,6,0,0,3,3,2
